px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
161.44	27.4317	3.19018	0.562435	0.192372	161.529	27.8454	161.493	27.4891	2.65371	1.33344	241060
163.624	28.7714	3.07038	0.538121	0.0543272	163.625	28.7683	164.155	28.8064	2.64354	1.28825	31478.3
163.733	28.7898	3.17218	0.52975	0.0621424	164.116	29.315	164.155	28.8064	2.64354	1.28825	251477
166.805	30.2009	4.30531	0.307549	-0.121874	166.828	30.2062	166.809	30.0721	2.63006	1.22694	35059.2
166.732	30.1769	3.38603	0.388323	0.0342524	166.748	29.7121	166.809	30.0721	2.63006	1.22694	259884
169.1	31.372	3.24328	0.469844	0.0646424	169.097	31.3717	169.452	31.2706	2.61238	1.15075	25997.6
169.12	31.3759	3.10751	0.478141	0.0871141	169.345	30.7063	169.452	31.2706	2.61238	1.15075	265606
172.155	32.3388	3.98481	0.1503	-0.180149	172.175	32.3404	172.079	32.3873	2.58945	1.06126	35904.6
172.135	32.3208	3.24567	0.108787	-0.228426	172.135	32.6666	172.079	32.3873	2.58945	1.06126	276963
174.645	33.453	3.14472	0.5048	0.168922	174.643	33.4625	174.685	33.4095	2.56021	0.960341	23530
174.627	33.4522	2.95015	0.526885	0.199716	174.474	33.9157	174.685	33.4095	2.56021	0.960341	282280
177.024	34.2071	2.91741	0.235535	-0.118311	177.03	34.2009	177.261	34.3262	2.52363	0.850119	37932.4
177.037	34.2043	2.72694	0.221886	-0.123464	177.211	33.8467	177.261	34.3262	2.52363	0.850119	294454
180.126	35.136	3.83688	0.315218	0.0138792	180.145	35.1423	179.799	35.1289	2.47883	0.732949	30381.6
180.01	35.1199	2.87504	0.375552	0.0990349	179.543	35.4767	179.799	35.1289	2.47883	0.732949	300229
182.591	35.7555	3.23026	0.147738	-0.10839	182.599	35.753	182.292	35.8114	2.42515	0.611338	33090.7
182.497	35.7343	2.69383	0.132996	-0.126508	182.047	36.2626	182.292	35.8114	2.42515	0.611338	309186
184.73	36.508	2.81447	0.410686	0.12975	184.732	36.5155	184.73	36.37	2.36226	0.487877	31239.8
184.729	36.5115	2.47365	0.447083	0.177161	184.833	36.1451	184.73	36.37	2.36226	0.487877	317749
186.936	36.9472	2.69744	0.0794177	-0.168793	186.946	36.9404	187.103	36.804	2.29017	0.365145	41686.8
186.998	36.9559	2.62649	0.0407608	-0.203625	187.296	36.9375	187.103	36.804	2.29017	0.365145	328403
189.458	37.3979	3.01684	0.236542	0.0492356	189.465	37.4052	189.401	37.1147	2.20928	0.245623	35543.8
189.48	37.4068	2.48046	0.289919	0.0947262	189.738	36.951	189.401	37.1147	2.20928	0.245623	335320
191.729	37.5695	2.68881	-0.0297421	-0.167083	191.735	37.5631	191.615	37.3064	2.12037	0.131591	35767.6
191.698	37.5593	2.36851	-0.0585314	-0.207517	191.682	37.1147	191.615	37.3064	2.12037	0.131591	341831
193.474	37.2776	2.20387	-0.203595	-0.16871	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	45385.4
